job_id,job_title,company,location,category,experience_level,required_skills,job_description
1,Junior Python Developer,TechNova Solutions,Bangalore,Software Engineering,Entry Level,"Python, Django, REST APIs, SQL, Git, HTML, CSS","We are looking for a Junior Python Developer to join our backend team. You will work on building scalable web applications using Django and REST APIs. Responsibilities include writing clean Python code, designing database schemas with SQL, collaborating with frontend developers, and participating in code reviews. Knowledge of version control with Git is essential. Experience with cloud platforms like AWS is a plus."
2,Senior Data Scientist,DataMinds Analytics,Hyderabad,Data Science,Senior,"Python, Machine Learning, TensorFlow, Pandas, NumPy, SQL, Statistics, Deep Learning, NLP","Seeking an experienced Data Scientist to lead our ML initiatives. You will design and implement machine learning models for predictive analytics, natural language processing, and recommendation systems. Must have strong expertise in Python, TensorFlow, and statistical modeling. You will mentor junior team members and present insights to stakeholders. Experience with big data tools like Spark is beneficial."
3,Full Stack Web Developer,CloudBridge Inc,Remote,Web Development,Mid Level,"JavaScript, React, Node.js, MongoDB, Express.js, HTML, CSS, TypeScript, Git, REST APIs","Join our engineering team as a Full Stack Developer. You will build and maintain web applications using the MERN stack (MongoDB, Express, React, Node.js). Responsibilities include developing responsive user interfaces, building RESTful APIs, optimizing application performance, and writing unit tests. Strong problem-solving skills and experience with agile development methodologies are required."
4,DevOps Engineer,InfraCore Systems,Pune,DevOps,Mid Level,"AWS, Docker, Kubernetes, Jenkins, Terraform, Linux, CI/CD, Python, Bash, Ansible","We need a DevOps Engineer to streamline our deployment pipelines. You will manage cloud infrastructure on AWS, implement CI/CD pipelines using Jenkins, containerize applications with Docker and Kubernetes, and automate infrastructure provisioning with Terraform. Strong Linux administration skills and scripting abilities in Python and Bash are essential."
5,UI/UX Designer,PixelCraft Studios,Mumbai,Design,Mid Level,"Figma, Adobe XD, Sketch, User Research, Wireframing, Prototyping, HTML, CSS, Design Systems, Usability Testing","Looking for a creative UI/UX Designer to craft exceptional digital experiences. You will conduct user research, create wireframes and prototypes in Figma, design intuitive interfaces, and collaborate closely with developers. Experience building and maintaining design systems is highly valued. You should have a strong portfolio demonstrating user-centered design thinking."
6,Machine Learning Engineer,NeuralPath AI,Bangalore,Data Science,Senior,"Python, PyTorch, TensorFlow, Deep Learning, Computer Vision, MLOps, Docker, AWS, Kubernetes, SQL","Join our AI research team as an ML Engineer. You will develop and deploy production-grade machine learning models for computer vision and NLP applications. Responsibilities include training deep learning models, building ML pipelines, optimizing model performance, and deploying models using MLOps best practices. Experience with PyTorch and cloud deployment is required."
7,Product Manager,LaunchPad Tech,Delhi,Product Management,Mid Level,"Product Strategy, Agile, Scrum, JIRA, Data Analysis, SQL, User Research, A/B Testing, Roadmap Planning, Stakeholder Management","We are hiring a Product Manager to drive our SaaS product roadmap. You will define product vision, prioritize features based on user research and data analysis, collaborate with engineering and design teams, and track KPIs. Strong analytical skills and experience with agile methodologies are essential. Must be able to communicate effectively with technical and non-technical stakeholders."
8,Digital Marketing Specialist,GrowthHive Media,Remote,Marketing,Entry Level,"SEO, Google Analytics, Social Media Marketing, Content Marketing, Email Marketing, Google Ads, Facebook Ads, Copywriting, WordPress","Seeking a Digital Marketing Specialist to manage our online presence. You will create and execute digital marketing campaigns across multiple channels, optimize website SEO, manage social media accounts, analyze campaign performance using Google Analytics, and write engaging content. Experience with paid advertising on Google and Facebook platforms is preferred."
9,Financial Analyst,CapitalWise Partners,Mumbai,Finance,Entry Level,"Excel, Financial Modeling, SQL, Power BI, Accounting, Financial Reporting, Data Analysis, SAP, Bloomberg Terminal","We need a Financial Analyst to support our investment team. You will build financial models, analyze market trends, prepare detailed reports and presentations, and assist with portfolio management. Strong proficiency in Excel and financial modeling is required. Knowledge of Power BI for data visualization and SQL for data querying is a plus."
10,Cybersecurity Analyst,SecureNet Defense,Hyderabad,Cybersecurity,Mid Level,"Network Security, Penetration Testing, SIEM, Firewall Management, Python, Linux, Incident Response, Vulnerability Assessment, ISO 27001, Ethical Hacking","Join our security operations team as a Cybersecurity Analyst. You will monitor network traffic for threats, conduct vulnerability assessments and penetration tests, manage SIEM tools, respond to security incidents, and ensure compliance with security standards like ISO 27001. Strong knowledge of network protocols and Linux systems is essential."
11,Mobile App Developer,AppForge Labs,Bangalore,Software Engineering,Mid Level,"React Native, JavaScript, TypeScript, iOS, Android, Redux, REST APIs, Firebase, Git, UI/UX","We are looking for a Mobile App Developer to build cross-platform mobile applications using React Native. You will develop performant apps for both iOS and Android, integrate with backend APIs, implement state management with Redux, and ensure smooth user experiences. Experience with Firebase for backend services is a plus."
12,Cloud Architect,SkyScale Technologies,Pune,DevOps,Senior,"AWS, Azure, Google Cloud, Microservices, Docker, Kubernetes, Terraform, Serverless, Networking, Security","Seeking a Cloud Architect to design and implement scalable cloud solutions. You will architect multi-cloud environments, design microservices architectures, implement security best practices, optimize cloud costs, and mentor engineering teams. Extensive experience with AWS or Azure and strong understanding of networking and distributed systems is required."
